Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Continent,date
Falkland Islands,13,,,,13,0,,426,South America,24-May-2020
Turks and Caicos,12,,1,,10,1,,109,North America,24-May-2020
Vatican City,12,,,,2,10,,,Europe,24-May-2020
Montserrat,11,,1,,10,0,,36,North America,24-May-2020
Suriname,11,,1,,9,1,,404,South America,24-May-2020
Greenland,11,,,,11,0,,"1,850",North America,24-May-2020
Seychelles,11,,,,11,0,,,Africa,24-May-2020
MS Zaandam,9,,2,,,7,,,,24-May-2020
British Virgin Islands,8,,1,,6,1,,167,North America,24-May-2020
Papua New Guinea,8,,,,8,0,,"2,402",Australia/Oceania,24-May-2020
Caribbean Netherlands,6,,,,6,0,,424,North America,24-May-2020
St. Barth,6,,,,6,0,,,North America,24-May-2020
Western Sahara,6,,,,6,0,,,Africa,24-May-2020
Anguilla,3,,,,3,0,,,North America,24-May-2020
Lesotho,2,,,,,2,,,Africa,24-May-2020
Saint Pierre Miquelon,1,,,,1,0,,,North America,24-May-2020
China,"82,971",,"4,634",,"78,258",79,9,,Asia,24-May-2020
Total:,"1,831,384","+6,835","112,172",+542,"507,291","1,211,921","18,246",,North America,24-May-2020
Total:,"1,880,933","+12,767","168,740",+321,"860,551","851,642","10,488",,Europe,24-May-2020
Total:,"582,466","+4,279","29,543",+182,"218,738","334,185","10,716",,South America,24-May-2020
Total:,"929,648","+17,612","26,899",+225,"540,301","362,448","4,842",,Asia,24-May-2020
Total:,"106,321",+476,"3,207",+3,"43,280","59,834",302,,Africa,24-May-2020
Total:,"8,719",+16,123,+1,"8,050",546,6,,Australia/Oceania,24-May-2020
Total:,721,,15,,651,55,4,,,24-May-2020
Total:,"5,340,192","+41,985","340,699","+1,274","2,178,862","2,820,631","44,604",,All,24-May-2020
